Timestamp,Temp_mC,Freq_kHz
2026-06-16 13:24:13,58000,3199998
2026-06-16 13:24:18,57000,3200000
2026-06-16 13:24:23,58000,3200000
2026-06-16 13:24:28,57000,3200000
2026-06-16 13:24:33,57000,3200001
2026-06-16 13:24:38,56000,3225245
2026-06-16 13:24:43,57000,3181732
2026-06-16 13:24:48,58000,3200006
2026-06-16 13:24:53,58000,3200011
2026-06-16 13:24:59,58000,3200000
2026-06-16 13:25:04,58000,3200000
2026-06-16 13:25:09,58000,3200011
2026-06-16 13:25:14,59000,3200001
2026-06-16 13:25:19,58000,3200001
2026-06-16 13:25:24,58000,3199998
2026-06-16 13:25:29,59000,3200001
2026-06-16 13:25:34,59000,3200002
2026-06-16 13:25:39,58000,3200010
2026-06-16 13:25:45,57000,3235539
2026-06-16 13:25:50,56000,3199998
2026-06-16 13:25:55,56000,3200000
2026-06-16 13:26:00,55000,3200001
2026-06-16 13:26:05,54000,3200001
2026-06-16 13:26:10,54000,3200000
2026-06-16 13:26:15,54000,3200001
2026-06-16 13:26:20,56000,3200001
2026-06-16 13:26:25,54000,3198557
2026-06-16 13:26:30,55000,3200022
2026-06-16 13:26:35,54000,3200000
2026-06-16 13:26:41,53000,3199847
2026-06-16 13:26:46,53000,3200000
2026-06-16 13:26:51,53000,3200006
2026-06-16 13:26:56,54000,3200050
2026-06-16 13:27:01,54000,3200001
2026-06-16 13:27:06,55000,3200000
2026-06-16 13:27:11,54000,3200263
2026-06-16 13:27:16,55000,3199996
2026-06-16 13:27:21,54000,3199998
2026-06-16 13:27:26,54000,3200001
2026-06-16 13:27:32,53000,3199137
2026-06-16 13:27:37,56000,3888787
2026-06-16 13:27:42,54000,3200000
2026-06-16 13:27:47,56000,3200000
2026-06-16 13:27:52,57000,3200000
2026-06-16 13:27:57,57000,3200000
2026-06-16 13:28:02,57000,3200006
2026-06-16 13:28:07,57000,3200005
2026-06-16 13:28:12,57000,3200000
2026-06-16 13:28:17,58000,3200001
2026-06-16 13:28:23,58000,3200000
2026-06-16 13:28:28,58000,3200001
2026-06-16 13:28:33,58000,3200000
2026-06-16 13:28:38,58000,3200000
2026-06-16 13:28:43,58000,3200001
2026-06-16 13:28:48,58000,3200000
2026-06-16 13:28:53,58000,3199998
2026-06-16 13:28:58,58000,3200001
2026-06-16 13:29:03,57000,3200003
2026-06-16 13:29:09,57000,3200001
2026-06-16 13:29:14,57000,3200006
2026-06-16 13:29:19,57000,3200001
2026-06-16 13:29:24,56000,3199984
2026-06-16 13:29:29,56000,3244189
2026-06-16 13:29:34,60000,3202807
2026-06-16 13:29:39,60000,3200000
2026-06-16 13:29:44,61000,3199249
2026-06-16 13:29:49,60000,3200000
2026-06-16 13:29:54,60000,3200000
2026-06-16 13:30:00,60000,3200000
2026-06-16 13:30:05,60000,3200000
2026-06-16 13:30:10,60000,3200000
2026-06-16 13:30:15,60000,3200000
2026-06-16 13:30:20,59000,3200001
2026-06-16 13:30:25,60000,3200001
2026-06-16 13:30:30,57000,3673875
2026-06-16 13:30:35,59000,3159856
2026-06-16 13:30:40,61000,3200000
2026-06-16 13:30:45,61000,3200001
2026-06-16 13:30:50,61000,3200000
2026-06-16 13:30:56,61000,3186368
2026-06-16 13:31:01,61000,3200000
2026-06-16 13:31:06,60000,3200000
2026-06-16 13:31:11,60000,3200000
2026-06-16 13:31:16,60000,3200001
2026-06-16 13:31:21,58000,3211003
2026-06-16 13:31:26,60000,3204952
2026-06-16 13:31:31,59000,3199998
2026-06-16 13:31:36,57000,3990511
2026-06-16 13:31:41,61000,3200000
2026-06-16 13:31:46,61000,3200000
2026-06-16 13:31:51,61000,3200001
2026-06-16 13:31:57,61000,3200000
2026-06-16 13:32:02,61000,3200000
2026-06-16 13:32:07,61000,3200001
2026-06-16 13:32:12,61000,3200001
2026-06-16 13:32:17,61000,3200000
2026-06-16 13:32:22,60000,3200000
2026-06-16 13:32:27,60000,3200003
2026-06-16 13:32:32,60000,3200012
2026-06-16 13:32:37,58000,3200750
2026-06-16 13:32:43,61000,3190694
2026-06-16 13:32:48,61000,3200000
2026-06-16 13:32:53,60000,3200000
2026-06-16 13:32:58,61000,3200000
2026-06-16 13:33:03,61000,3196635
2026-06-16 13:33:08,61000,3200001
2026-06-16 13:33:13,60000,3200000
2026-06-16 13:33:18,60000,3200000
2026-06-16 13:33:23,60000,3200000
2026-06-16 13:33:29,60000,3200023
2026-06-16 13:33:34,60000,3200000
2026-06-16 13:33:39,60000,3200019
2026-06-16 13:33:44,59000,3200001
2026-06-16 13:33:49,59000,3200000
2026-06-16 13:33:54,59000,3200000
2026-06-16 13:33:59,57000,3200000
2026-06-16 13:34:04,59000,3200000
2026-06-16 13:34:09,61000,3200000
2026-06-16 13:34:14,60000,3200000
2026-06-16 13:34:20,61000,3200000
2026-06-16 13:34:25,61000,3200000
2026-06-16 13:34:30,60000,3200004
2026-06-16 13:34:35,60000,3200000
2026-06-16 13:34:40,61000,3200000
2026-06-16 13:34:45,61000,3200009
2026-06-16 13:34:50,61000,3200023
2026-06-16 13:34:55,61000,3200000
2026-06-16 13:35:00,59000,3171559
2026-06-16 13:35:05,57000,3199998
2026-06-16 13:35:10,57000,3199715
2026-06-16 13:35:15,55000,3198658
2026-06-16 13:35:21,55000,3199209
2026-06-16 13:35:26,54000,3207871
2026-06-16 13:35:31,54000,3486504
2026-06-16 13:35:36,56000,3149356
2026-06-16 13:35:41,55000,3199556
2026-06-16 13:35:46,56000,3199468
2026-06-16 13:35:51,56000,3200000
2026-06-16 13:35:56,59000,3199298
2026-06-16 13:36:01,59000,3199998
2026-06-16 13:36:06,60000,3200003
2026-06-16 13:36:11,60000,3200002
2026-06-16 13:36:16,60000,3199997
2026-06-16 13:36:21,60000,3200000
2026-06-16 13:36:26,60000,3200024
2026-06-16 13:36:31,60000,3200017
2026-06-16 13:36:36,59000,3200000
2026-06-16 13:36:42,57000,3200000
2026-06-16 13:36:47,60000,3200000
2026-06-16 13:36:52,58000,3199673
2026-06-16 13:36:57,59000,3200000
2026-06-16 13:37:02,61000,3200005
2026-06-16 13:37:07,60000,3200000
2026-06-16 13:37:12,61000,3200000
2026-06-16 13:37:17,61000,3200002
2026-06-16 13:37:22,61000,3200000
2026-06-16 13:37:27,61000,3200000
2026-06-16 13:37:32,61000,3200000
2026-06-16 13:37:38,61000,3200000
2026-06-16 13:37:43,61000,3200001
2026-06-16 13:37:48,61000,3200020
2026-06-16 13:37:53,61000,3200001
2026-06-16 13:37:58,61000,3200000
2026-06-16 13:38:03,61000,3200000
2026-06-16 13:38:08,61000,3199998
2026-06-16 13:38:13,61000,3200001
2026-06-16 13:38:18,61000,3200000
2026-06-16 13:38:24,61000,3200000
2026-06-16 13:38:29,61000,3200001
2026-06-16 13:38:34,61000,3200000
2026-06-16 13:38:39,61000,3200001
2026-06-16 13:38:44,60000,3200001
2026-06-16 13:38:49,60000,3200000
2026-06-16 13:38:54,61000,3200000
2026-06-16 13:38:59,60000,3200001
2026-06-16 13:39:04,60000,3199844
2026-06-16 13:39:09,59000,3200000
2026-06-16 13:39:14,61000,3199992
2026-06-16 13:39:20,61000,3200000
2026-06-16 13:39:25,61000,3200000
2026-06-16 13:39:30,61000,3200000
2026-06-16 13:39:35,61000,3200000
2026-06-16 13:39:40,61000,3200000
2026-06-16 13:39:45,61000,3199998
2026-06-16 13:39:50,61000,3200010
2026-06-16 13:39:55,61000,3199999
2026-06-16 13:40:00,61000,3200000
2026-06-16 13:40:06,61000,3200001
2026-06-16 13:40:11,61000,3199777
2026-06-16 13:40:16,61000,3200000
2026-06-16 13:40:21,60000,3199102
2026-06-16 13:40:26,60000,3198305
2026-06-16 13:40:31,60000,3199468
2026-06-16 13:40:36,60000,3199623
2026-06-16 13:40:41,59000,3206671
2026-06-16 13:40:46,57000,3199816
2026-06-16 13:40:51,59000,3131153
2026-06-16 13:40:56,59000,3197035
2026-06-16 13:41:01,61000,3198487
2026-06-16 13:41:06,60000,3200001
2026-06-16 13:41:11,60000,3232410
2026-06-16 13:41:16,61000,3199948
2026-06-16 13:41:21,60000,3200001
2026-06-16 13:41:26,61000,3199410
2026-06-16 13:41:31,61000,3200000
2026-06-16 13:41:36,60000,3200000
2026-06-16 13:41:41,60000,3199890
2026-06-16 13:41:46,60000,3200001
2026-06-16 13:41:51,61000,3200001
2026-06-16 13:41:56,60000,3199169
2026-06-16 13:42:01,60000,3200001
2026-06-16 13:42:06,57000,3193731
2026-06-16 13:42:11,56000,3203699
2026-06-16 13:42:16,56000,3199998
2026-06-16 13:42:21,56000,3200029
2026-06-16 13:42:26,56000,3200000
2026-06-16 13:42:32,55000,3886592
2026-06-16 13:42:37,55000,3200001
2026-06-16 13:42:42,54000,3200000
2026-06-16 13:42:47,53000,3200003
2026-06-16 13:42:52,53000,3189726
2026-06-16 13:42:57,53000,3961952
2026-06-16 13:43:02,54000,3200000
2026-06-16 13:43:07,54000,3200001
2026-06-16 13:43:12,55000,3200024
2026-06-16 13:43:17,55000,3200000
2026-06-16 13:43:22,55000,3200013
2026-06-16 13:43:28,54000,3192910
2026-06-16 13:43:33,54000,3162465
2026-06-16 13:43:38,53000,3200000
2026-06-16 13:43:43,54000,3977642
2026-06-16 13:43:48,56000,3200000
2026-06-16 13:43:53,55000,3199996
2026-06-16 13:43:58,54000,3200001
2026-06-16 13:44:03,58000,3200001
2026-06-16 13:44:08,57000,3200004
2026-06-16 13:44:13,59000,3200001
2026-06-16 13:44:18,60000,3200000
2026-06-16 13:44:23,59000,3199998
2026-06-16 13:44:29,59000,3200000
2026-06-16 13:44:34,60000,3200000
2026-06-16 13:44:39,60000,3200024
2026-06-16 13:44:44,60000,3200001
2026-06-16 13:44:49,59000,3200001
2026-06-16 13:44:54,60000,3200024
2026-06-16 13:44:59,59000,3200000
2026-06-16 13:45:04,59000,3200001
2026-06-16 13:45:09,59000,3391919
2026-06-16 13:45:15,61000,3200000
2026-06-16 13:45:20,61000,3200000
2026-06-16 13:45:25,60000,3200000
2026-06-16 13:45:30,61000,3200000
2026-06-16 13:45:35,60000,3200000
2026-06-16 13:45:40,61000,3200002
2026-06-16 13:45:45,60000,3200000
2026-06-16 13:45:50,59000,3199998
2026-06-16 13:45:55,59000,3199999
2026-06-16 13:46:00,57000,3199998
2026-06-16 13:46:06,58000,3200000
2026-06-16 13:46:11,58000,3200000
2026-06-16 13:46:16,57000,3200000
2026-06-16 13:46:21,57000,3200001
2026-06-16 13:46:26,56000,3221916
2026-06-16 13:46:31,56000,3971566
2026-06-16 13:46:36,58000,3199998
2026-06-16 13:46:41,58000,3200000
2026-06-16 13:46:46,58000,3200001
2026-06-16 13:46:51,58000,3200001
2026-06-16 13:46:56,57000,3200001
2026-06-16 13:47:02,58000,3199998
2026-06-16 13:47:07,57000,3200000
2026-06-16 13:47:12,58000,3200000
2026-06-16 13:47:17,57000,3200008
2026-06-16 13:47:22,57000,3199998
2026-06-16 13:47:27,57000,3200000
2026-06-16 13:47:32,57000,3200000
2026-06-16 13:47:37,57000,3200001
2026-06-16 13:47:43,55000,3272325
2026-06-16 13:47:48,57000,3200000
2026-06-16 13:47:53,58000,3200000
2026-06-16 13:47:58,57000,3199998
2026-06-16 13:48:03,58000,3200000
2026-06-16 13:48:08,57000,3200001
2026-06-16 13:48:13,58000,3200001
2026-06-16 13:48:18,57000,3200000
2026-06-16 13:48:23,57000,3200000
2026-06-16 13:48:28,57000,3200000
2026-06-16 13:48:33,57000,3199998
2026-06-16 13:48:39,57000,3200000
2026-06-16 13:48:44,57000,3200001
2026-06-16 13:48:49,57000,3199998
2026-06-16 13:48:54,57000,3200000
2026-06-16 13:48:59,56000,3200006
2026-06-16 13:49:04,56000,3241179
